# O'zbek tili G2P leksikoni (qoida asosida yaratilgan)
# ustunlar: so'z / fonemalar / holat (aniq | noaniq) / variantlar soni
yer	j e r	aniq	1
yetgan	j e t g a n	aniq	1
yetti	j e t t i	aniq	1
yil	j i l	aniq	1
yili	j i l i	aniq	1
yilning	j i l n i ŋ	aniq	1
yog‘ishi	j o ʁ i ʃ i	aniq	1
yoki	j o k i	aniq	1
yordam	j o r d a m	aniq	1
yozilgan	j o z i l g a n	aniq	1
yo‘l	j ɵ l	aniq	1
yo‘lagidan	j ɵ l a g i d a n	aniq	1
yo‘lbars	j ɵ l b a r s	aniq	1
yo‘lboshchi	j ɵ l b o ʃ tʃ i	aniq	1
yo‘lidan	j ɵ l i d a n	aniq	1
yo‘q	j ɵ q	aniq	1
yo‘qligini	j ɵ q l i g i n i	aniq	1
yo‘qotganidan	j ɵ q o t g a n i d a n	aniq	1
yo‘qotishlar	j ɵ q o t i ʃ l a r	aniq	1
yuqori	j u q o r i	aniq	1
yurish	j u r i ʃ	aniq	1
zo‘ravonlik	z ɵ r a v o n l i k	aniq	1
